Raffine's Tower;-1
Xander's Lounge;-1
Jetmir's Garden;-1
Ziatora's Proving Ground;-1
Errant, Street Artist;3
Giada, Font of Hope;7
Black Market Tycoon;4
Tenacious Underdog;4
Cut of the Profits;5
Unlicensed Hearse;3
Gala Greeters;5
Scheming Fence;6
Ledger Shredder;4
Park Heights Pegasus;3
Aven Heartstabber;4
Toluz, Clever Conductor;4
Halo Fountain;7
Sanguine Spy;5
Professional Face-Breaker;5
Fight Rigging;5
Rigo, Streetwise Mentor;5
Even the Score;3
Widespread Thieving;3
Evolving Door;3
Extraction Specialist;3
Jinnie Fay, Jetmir's Second;6
Maestros Diabolist;3
Void Rend;6
Riveteers Ascendancy;5
Shakedown Heavy;6
Brokers Ascendancy;7
Getaway Car;3
Cemetery Tampering;3
Corpse Explosion;4
Cabaretti Ascendancy;6
Incandescent Aria;4
Maestros Ascendancy;3
Endless Detour;5
Devilish Valet;5
